pop0:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,55.28763693,Front,1,gene[0]:,3,5,Sunev,184.8753752,gene[1]:,4,1,Sunev,184.8753752,gene[2]:,20,4,Sunev,184.8753752,gene[3]:,22,11,Sunev,184.8753752,gene[4]:,21,24,Sunev,184.8753752,gene[5]:,18,21,Sunev,184.8753752,gene[6]:,24,23,Sunev,184.8753752,,,,,,,,,,
pop12:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,54.67128554,Front,1,gene[0]:,3,5,Sunev,146.1280045,gene[1]:,4,1,Sunev,146.1280045,gene[2]:,20,4,Sunev,146.1280045,gene[3]:,22,11,Sunev,146.1280045,gene[4]:,21,24,Sunev,146.1280045,gene[5]:,18,21,Sunev,146.1280045,,,,,,,,,,,,,,,
pop13:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,48.2025162,Front,1,gene[0]:,5,5,Sunev,124.7998318,gene[1]:,6,5,Sunev,124.7998318,gene[2]:,20,4,Sunev,124.7998318,gene[3]:,24,14,Sunev,124.7998318,gene[4]:,24,20,Sunev,124.7998318,gene[5]:,18,23,Sunev,124.7998318,,,,,,,,,,,,,,,
pop14:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,43.4749004,Front,1,gene[0]:,5,5,Sunev,124.7745314,gene[1]:,3,5,Sunev,124.7745314,gene[2]:,15,5,Sunev,124.7745314,gene[3]:,20,4,Sunev,124.7745314,gene[4]:,24,14,Sunev,124.7745314,gene[5]:,24,20,Sunev,124.7745314,,,,,,,,,,,,,,,
pop15:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,43.40526726,Front,1,gene[0]:,5,5,Sunev,109.7745314,gene[1]:,3,5,Sunev,109.7745314,gene[2]:,20,4,Sunev,109.7745314,gene[3]:,24,14,Sunev,109.7745314,gene[4]:,24,20,Sunev,109.7745314,,,,,,,,,,,,,,,,,,,,
pop16:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,43.19699329,Front,1,gene[0]:,5,5,Sunev,97.07723324,gene[1]:,3,5,Sunev,97.07723324,gene[2]:,15,5,Sunev,97.07723324,gene[3]:,20,4,Sunev,97.07723324,gene[4]:,24,20,Sunev,97.07723324,,,,,,,,,,,,,,,,,,,,
pop17:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,41.5367086,Front,1,gene[0]:,12,5,Sunev,87.67580253,gene[1]:,22,4,Sunev,87.67580253,gene[2]:,22,22,Sunev,87.67580253,gene[3]:,22,23,Sunev,87.67580253,gene[4]:,24,23,Sunev,87.67580253,,,,,,,,,,,,,,,,,,,,
pop18:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,41.0400641,Front,1,gene[0]:,12,5,Sunev,85.4103476,gene[1]:,22,4,Sunev,85.4103476,gene[2]:,23,20,Sunev,85.4103476,gene[3]:,22,22,Sunev,85.4103476,gene[4]:,22,23,Sunev,85.4103476,,,,,,,,,,,,,,,,,,,,
pop19:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitness:,0,Distance,41.0400641,Front,1,gene[0]:,12,5,Sunev,82.96610451,gene[1]:,22,4,Sunev,82.96610451,gene[2]:,23,20,Sunev,82.96610451,gene[3]:,22,22,Sunev,82.96610451,gene[4]:,22,23,Sunev,82.96610451,,,,,,,,,,,,,,,,,,,,
pop20:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
