Path[0]Xgrid,4,Ygrid,21,Distance,40.6198264705278,Fdis,0.0246185197449221,Fitness,0,subcount,31,Sunev,1.52376092452167
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,0,9,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
41.1341562305914,0,12.2462112512353,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,0,13,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
41.3856831244616,1,7.39834563766817,
sub[0]Xgrid.Ygrid,4,21,sub[1]Xgrid.Ygrid,15,18,
Distance,indicator,novelty
42.6144861317545,2,7.16227766016838,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,6,9,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
42.622618948787,2,6.70820393249937,
sub[0]Xgrid.Ygrid,4,21,sub[1]Xgrid.Ygrid,18,19,
Distance,indicator,novelty
42.3484633540087,4,6.06449510224598,
sub[0]Xgrid.Ygrid,4,21,sub[1]Xgrid.Ygrid,16,18,
Distance,indicator,novelty
42.7653949312241,3,6.06449510224598,
sub[0]Xgrid.Ygrid,4,21,sub[1]Xgrid.Ygrid,16,21,
Distance,indicator,novelty
40.9400817996887,3,6.06449510224598,
sub[0]Xgrid.Ygrid,4,21,sub[1]Xgrid.Ygrid,18,20,
Distance,indicator,novelty
41.6428494529173,3,6.06449510224598,
sub[0]Xgrid.Ygrid,4,21,sub[1]Xgrid.Ygrid,15,21,
Distance,indicator,novelty
40.8829110348763,3,6,
sub[0]Xgrid.Ygrid,4,21,sub[1]Xgrid.Ygrid,9,24,
Distance,indicator,novelty
41.2270299492164,2,5.24264068711929,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,6,6,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
43.9039368338811,2,4.82842712474619,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,4,8,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
41.3860260763251,6,4.47213595499958,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,4,8,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
41.3860260763251,3,4.47213595499958,
sub[0]Xgrid.Ygrid,4,21,sub[1]Xgrid.Ygrid,13,21,
Distance,indicator,novelty
40.7978323053625,3,4.41421356237309,
sub[0]Xgrid.Ygrid,4,21,sub[1]Xgrid.Ygrid,10,24,
Distance,indicator,novelty
41.1042819868705,2,4.23606797749979,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,2,13,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
40.6876224656978,4,3.82842712474619,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,4,13,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
40.8728590568302,1,3.82842712474619,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,4,11,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
41.001799182189,1,3.82842712474619,
sub[0]Xgrid.Ygrid,4,21,sub[1]Xgrid.Ygrid,10,23,
Distance,indicator,novelty
40.7563022223261,3,3.82842712474619,
sub[0]Xgrid.Ygrid,4,21,sub[1]Xgrid.Ygrid,11,22,
Distance,indicator,novelty
40.6200923042025,5,3.82842712474619,
sub[0]Xgrid.Ygrid,4,21,sub[1]Xgrid.Ygrid,12,22,
Distance,indicator,novelty
40.6238608632661,3,3.41421356237309,
sub[0]Xgrid.Ygrid,4,21,sub[1]Xgrid.Ygrid,12,21,
Distance,indicator,novelty
40.7653949312241,3,3.41421356237309,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,5,6,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
42.8914584096975,4,3.23606797749979,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,5,6,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
42.8914584096975,2,3.23606797749979,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,2,14,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
40.7160115867265,4,3,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,5,11,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
41.4981594457445,4,3,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,5,13,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
41.2971416264197,3,3,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,3,14,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
40.6551329153761,5,2.41421356237309,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,3,14,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
40.6551329153761,3,2.41421356237309,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,5,12,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
41.3856831244616,5,2,
sub[0]Xgrid.Ygrid,1,4,sub[1]Xgrid.Ygrid,5,12,sub[2]Xgrid.Ygrid,4,21,
Distance,indicator,novelty
41.3856831244616,4,2,

