pop0:
Fitness:,0,Distance,43.3185732192559,Front,1,gene[0]:,0,22,Sunev,0.926829268292683
pop1:
Fitness:,0,Distance,36.5337306075713,Front,1,gene[0]:,20,5,Sunev,0
pop2:
Fitness:,0,Distance,42.047699940046,Front,1,gene[0]:,2,23,Sunev,0
pop3:
Fitness:,0,Distance,38.2515047934766,Front,1,gene[0]:,21,4,Sunev,0
pop4:
Fitness:,0,Distance,39.3900661409243,Front,1,gene[0]:,20,2,Sunev,0
pop5:
Fitness:,0,Distance,41.3055972857612,Front,1,gene[0]:,1,21,Sunev,0
pop6:
Fitness:,0,Distance,40.4624778284812,Front,1,gene[0]:,20,1,Sunev,0
pop7:
Fitness:,0,Distance,40.0499687890016,Front,1,gene[0]:,4,23,Sunev,0
pop8:
Fitness:,0,Distance,42.047699940046,Front,1,gene[0]:,2,23,Sunev,0
pop9:
Fitness:,0,Distance,40.095023109729,Front,1,gene[0]:,5,24,Sunev,0
pop10:
Fitness:,0,Distance,40.095023109729,Front,1,gene[0]:,22,3,Sunev,0
pop11:
Fitness:,0,Distance,40.095023109729,Front,1,gene[0]:,5,24,Sunev,0
pop12:
Fitness:,0,Distance,44.095023109729,Front,2,gene[0]:,24,1,Sunev,0
pop13:
Fitness:,301000,Distance,29.698484809835,Front,2,gene[0]:,14,14,Sunev,0
pop14:
Fitness:,301000,Distance,29.698484809835,Front,2,gene[0]:,14,14,Sunev,0
pop15:
Fitness:,1000,Distance,29.698484809835,Front,2,gene[0]:,3,3,Sunev,0
pop16:
Fitness:,1000,Distance,29.698484809835,Front,2,gene[0]:,5,5,Sunev,0
pop17:
Fitness:,201000,Distance,29.698484809835,Front,2,gene[0]:,11,11,Sunev,0
pop18:
Fitness:,1000,Distance,29.698484809835,Front,2,gene[0]:,21,21,Sunev,0
pop19:
Fitness:,1000,Distance,29.698484809835,Front,2,gene[0]:,17,17,Sunev,0
pop20:
Fitness:,1000,Distance,29.698484809835,Front,2,gene[0]:,19,19,Sunev,0
pop21:
Fitness:,201000,Distance,29.698484809835,Front,2,gene[0]:,11,11,Sunev,0,gene[1]:,24,24,Sunev,0
pop22:
Fitness:,1000,Distance,29.698484809835,Front,2,gene[0]:,18,18,Sunev,0
pop23:
Fitness:,301000,Distance,29.732137494637,Front,2,gene[0]:,14,13,Sunev,0
pop24:
Fitness:,201000,Distance,29.732137494637,Front,2,gene[0]:,13,14,Sunev,0
pop25:
Fitness:,1000,Distance,29.7351189872774,Front,2,gene[0]:,17,16,Sunev,0
pop26:
Fitness:,201000,Distance,29.7351189872774,Front,2,gene[0]:,10,11,Sunev,0
pop27:
Fitness:,1000,Distance,29.741961875368,Front,2,gene[0]:,19,18,Sunev,0
pop28:
Fitness:,1000,Distance,29.7780559320688,Front,2,gene[0]:,5,6,Sunev,0
pop29:
Fitness:,1000,Distance,29.8222964257672,Front,2,gene[0]:,23,22,Sunev,0
pop30:
Fitness:,1000,Distance,29.8222964257672,Front,2,gene[0]:,23,22,Sunev,0
pop31:
Fitness:,301000,Distance,29.8331697553652,Front,2,gene[0]:,14,12,Sunev,0
pop32:
Fitness:,201000,Distance,29.8356348407921,Front,2,gene[0]:,14,16,Sunev,0
pop33:
Fitness:,201000,Distance,29.8356348407921,Front,2,gene[0]:,11,13,Sunev,0
pop34:
Fitness:,201000,Distance,29.8408431655772,Front,2,gene[0]:,10,12,Sunev,0
pop35:
Fitness:,201000,Distance,29.8626168925119,Front,2,gene[0]:,8,10,Sunev,0
pop36:
Fitness:,1000,Distance,29.8826706484372,Front,2,gene[0]:,20,18,Sunev,0
pop37:
Fitness:,1000,Distance,29.9141410524299,Front,2,gene[0]:,19,21,Sunev,0
pop38:
Fitness:,201000,Distance,30,Front,2,gene[0]:,12,15,Sunev,0
pop39:
Fitness:,201000,Distance,30,Front,2,gene[0]:,15,12,Sunev,0
pop40:
Fitness:,201000,Distance,30,Front,2,gene[0]:,15,12,Sunev,0
pop41:
Fitness:,201000,Distance,30,Front,2,gene[0]:,12,15,Sunev,0
pop42:
Fitness:,301000,Distance,30.0026899755922,Front,2,gene[0]:,14,11,Sunev,0
pop43:
Fitness:,201000,Distance,30.0110494304986,Front,2,gene[0]:,14,17,Sunev,0
pop44:
Fitness:,1000,Distance,30.0849732938438,Front,2,gene[0]:,17,20,Sunev,0
pop45:
Fitness:,100000,Distance,30.0849732938438,Front,2,gene[0]:,7,10,Sunev,0
pop46:
Fitness:,1000,Distance,30.0849732938438,Front,2,gene[0]:,10,7,Sunev,0
pop47:
Fitness:,1000,Distance,30.1389529602193,Front,2,gene[0]:,18,21,Sunev,0
pop48:
Fitness:,201000,Distance,30.2430553444906,Front,2,gene[0]:,17,13,Sunev,0
pop49:
Fitness:,301000,Distance,30.2430553444906,Front,2,gene[0]:,14,10,Sunev,0
pop50:
Fitness:,1000,Distance,30.3196045170126,Front,2,gene[0]:,22,24,Sunev,0
pop51:
Fitness:,1000,Distance,30.3196045170126,Front,2,gene[0]:,22,24,Sunev,0
pop52:
Fitness:,1000,Distance,30.3196045170126,Front,2,gene[0]:,5,3,Sunev,0
pop53:
Fitness:,1000,Distance,30.3196045170126,Front,2,gene[0]:,22,24,Sunev,0
pop54:
