Path[0]Xgrid,1,Ygrid,15,Distance,39.7314744488298,Fdis,0.0251689627398022,Fitness,0,subcount,0
sub[0]Xgrid,13,Ygrid,19,35.1047748400373,
sub[0]Xgrid,8,Ygrid,7,33.9753808725922,
sub[0]Xgrid,19,Ygrid,0,43.5153013442625,
sub[0]Xgrid,9,Ygrid,4,34.8488578017961,
sub[0]Xgrid,16,Ygrid,2,39.5339153180364,
sub[0]Xgrid,5,Ygrid,24,43.5153013442625,
sub[0]Xgrid,12,Ygrid,20,35.9729182200547,
sub[0]Xgrid,16,Ygrid,19,34.273465828805,
sub[0]Xgrid,11,Ygrid,3,36.0999323214483,
sub[0]Xgrid,9,Ygrid,21,38.1443778583701,
sub[0]Xgrid,24,Ygrid,19,35.6104557300279,
sub[0]Xgrid,14,Ygrid,24,37.7848879788996,
sub[0]Xgrid,20,Ygrid,17,34.3110672451119,
sub[0]Xgrid,4,Ygrid,6,34.1183506450754,
sub[0]Xgrid,19,Ygrid,20,33.9893526857003,
sub[0]Xgrid,6,Ygrid,15,36.2801062189016,
sub[0]Xgrid,14,Ygrid,14,33.9411254969543,
sub[0]Xgrid,5,Ygrid,15,36.8351843424705,
sub[0]Xgrid,2,Ygrid,19,41.6660015198998,
sub[0]Xgrid,8,Ygrid,8,33.9411254969543,
sub[0]Xgrid,16,Ygrid,17,33.9753808725922,
sub[0]Xgrid,3,Ygrid,22,43.2986264209035,
sub[0]Xgrid,12,Ygrid,0,38.8328157299975,
sub[0]Xgrid,21,Ygrid,23,34.3071006649633,
sub[0]Xgrid,3,Ygrid,14,37.5772277625024,
sub[0]Xgrid,22,Ygrid,24,34.5576411921994,
sub[0]Xgrid,19,Ygrid,5,39.293765408777,
sub[0]Xgrid,15,Ygrid,18,34.2474028541119,
sub[0]Xgrid,5,Ygrid,9,34.5030670148074,
sub[0]Xgrid,11,Ygrid,1,37.4650506444331,
sub[0]Xgrid,20,Ygrid,3,41.6013067425886,
sub[0]Xgrid,10,Ygrid,20,36.9208995535589,
sub[0]Xgrid,20,Ygrid,15,34.8488578017961,
sub[0]Xgrid,9,Ygrid,22,38.902474598431,
sub[0]Xgrid,14,Ygrid,1,39.1155412555871,
sub[0]Xgrid,17,Ygrid,16,33.9753808725922,
sub[0]Xgrid,20,Ygrid,0,44.3310501211929,
sub[0]Xgrid,4,Ygrid,6,34.1183506450754,
sub[0]Xgrid,16,Ygrid,16,33.9411254969543,
sub[0]Xgrid,11,Ygrid,20,36.4268949297621,
sub[0]Xgrid,20,Ygrid,5,40.0320159670359,
sub[0]Xgrid,2,Ygrid,5,34.4540485146318,
sub[0]Xgrid,23,Ygrid,7,41.071016926269,
sub[0]Xgrid,20,Ygrid,9,37.4558868957213,
sub[0]Xgrid,23,Ygrid,11,38.5335023783692,
sub[0]Xgrid,9,Ygrid,17,35.7883294189182,
sub[0]Xgrid,8,Ygrid,6,34.0831891575846,
sub[0]Xgrid,13,Ygrid,13,33.9411254969543,
sub[0]Xgrid,7,Ygrid,7,33.9411254969543,
sub[0]Xgrid,2,Ygrid,22,44.181444068749,
sub[0]Xgrid,15,Ygrid,23,36.5144455736294,
sub[0]Xgrid,9,Ygrid,2,35.8465983686816,
sub[0]Xgrid,21,Ygrid,6,40.0886172587362,
